id,name,email,admissionsContact,phone,contactPageUrl,notFound
cmrk7cl1w000akimz7nw6tw73,Bais Medrash L'Torah (Portnoy's Yeshiva),office@portnoys.org,,+972-2-500-0201,https://bmly.org/contact/,FALSE
cmrhjphqn0000cemzv0jt0pax,Bar-Ilan University International MBA,,,972-3-531-7914,https://imba.biu.ac.il/,FALSE
cmrbviu7y00052gmz2i9txx6m,Bar-Ilan University-Yeshiva University Summer Science Research Internship,,,,,TRUE
cmrapcd210006bkmznam0fbox,Bat Ayin Yeshiva,,,,,TRUE
cmrwji7w50000q3mz2bipt4na,Batsheva Summer Dance Course,batsheva@batsheva.co.il,education@batsheva.co.il,03-5171471 Ext. 115,https://batsheva.co.il/en/summer-course/,FALSE
cmr8bgrq10030vkmzh537u67j,BBYO Passport: Israel Journey,info@bbyo.org,bbyosummer@bbyo.org,202-857-6633,https://bbyo.org/about/contact-us/,FALSE
cmr8bgrq90031vkmzfwvlj14u,BBYO Passport: Israel Trek,info@bbyo.org,bbyosummer@bbyo.org,202-857-6633,https://bbyo.org/about/contact-us/,FALSE
cmrwix5my0002kymz3vwu7doy,Beit Berl College Student Exchange Program,,,*9121,https://www.beitberl.ac.il/international/international-students/?lang=en,FALSE
cmr9qklz6002grumz0g518rfa,Beit Chana Seminary (Tzfat) – Chul Program,Seminaryregistration@beitchana.org,,073-255-0300,https://www.beitchana.org/en/seminary-registrationchulprogram/,FALSE
cmrepg3xn0010pdmzgnkfpi2g,Beit Midrash Reuta (Carmel),yreuta3@gmail.com,,02-9605545,https://reuta.org/,FALSE
cmrepgfx0001mpdmz6ge4uo39,Beit Orot (Jerusalem),,,+972534246257,https://beit-orot.com/en/home/,FALSE
cmr8qb6l90007jbmz3cmxrbdj,Bezalel Academy of Arts and Design - Student Exchange Program,admission@bezalel.ac.il,,02-5893222,https://www.bezalel.ac.il/en/about/contact,FALSE
cmr9qfcq5000irumz3dsujbv0,Big Idea Gap Year,info@aardvarkisrael.com,,+972-52-429-3681,https://aardvarkisrael.com/big-idea/,FALSE
cmr8bgr4y000bvkmzq5pd8b0n,BINA Gap Year,taylor@bina.org.il,,(+972) 52-603-3665,https://www.bina.org.il/gap-gap/,FALSE
cmr7sl7ko0005w9mz4offzxck,Birthright Israel,,,,,TRUE
cmr9qf15c000erumzi1qwntt5,Birthright Israel Excel Fellowship,,,,,TRUE
cmraphjkv002cbkmzkiulhx8b,Bnei Akiva Olamit: Shalem,office@worldbneiakiva.org,,+972 2 620 9012,https://www.worldbneiakiva.org,FALSE
cmrdh24jd000004l5vzmnb27q,Bnei David (Eli),,,02-9947888,https://bneidavid.org/%d7%91%d7%95%d7%90%d7%95-%d7%9c%d7%a2%d7%a9%d7%95%d7%aa-%d7%a9%d7%91%d7%95%d7%a9-%d7%91%d7%9e%d7%95%d7%a1%d7%93%d7%95%d7%aa-%d7%91%d7%a0%d7%99-%d7%93%d7%95%d7%93/,FALSE
cmraph64c0026bkmztwtvcrod,Bnos Chava Seminary,,,,,TRUE
cmraph18y0024bkmzm8nsey8s,Bnos Sarah Seminary,,,,,TRUE
cmrwiwpiq0004inmz4rhtkvfw,Bnot Sherut Bodedot Program,sherutleumi@nbn.org.il,,02-659-5800,https://www.nbn.org.il/ori-bnot-sherut-bodedot/,FALSE
cmra8gxll000z2wmzj00u4yy8,Buchmann-Mehta School of Music International Program,interprog@tauex.tau.ac.il,,,https://en-arts.tau.ac.il/Music/Inter-Prog,FALSE
cmra8iyrk000g7fmzwpzbmp3l,CAMERA Fellows - Student Leadership and Advocacy Mission to Israel,,,,,TRUE
cmr8bgr6h000ivkmzvwx0mi4v,Career Israel,michellek@israelexperience.org,,,https://www.careerisrael.com/contact-us/,FALSE
cmrapcrem000cbkmztgno83j8,Chai Israel,,,,,TRUE
cmrapeujy0017bkmzu7riufez,Chasedei Breslov Yeshiva,,,,,TRUE
cmrx64sf40002icmzmdlvw2z3,Chaya Mushka Seminary (Ohr Chaya),,,+972-52-593-4722,https://orchaya.org.il/,FALSE
cmrapgrfo0020bkmzp7sujzq8,Chemdas Bais Yaakov,,,,,TRUE
cmr8bgrju0026vkmzh1qdxmby,Chevron Yeshiva (Knesset Yisrael),office@chevron.org.il,,+972-2-620-9331,https://chevronyeshiva.org/,FALSE
cmrwix6t90004kymzrs4uo744,College of Law and Business (CLB) Bilingual LL.B for English Speakers,rishum@clb.ac.il,,*6188,https://clb.ac.il/en/,FALSE
cmra8ea5j00022wmzlzjsqpjw,Conservative Yeshiva,info@fuchsbergcenter.org,,+972-2-625-6386,https://fuchsbergcenter.org/long-term/,FALSE
cmr8bgrso003fvkmz493thgvg,CTeen Summer: Heritage Quest (Poland-Israel),Summer@CTeen.com,,718-887-9721,https://www.cteensummer.com/,FALSE
cmrace6ph0006b1mzfzsr4r4y,Darchei Binah,sf@infodbi.com,,USA 718-252-6017 / Israel 02-641-0266,https://darcheibinah.org/,FALSE
cmrem7zww001srvmz61r5n7z9,Derech Eretz,development@derecheretz.org.il,,+972-54-761-5329,https://derecheretz.org.il/en/,FALSE
cmrhjllgt00043hmzh5k2v6of,Destination Israel,advisor@destinationisrael.com,,,https://www.destinationisrael.com/,FALSE
cmr9qkt0g002irumzicfxeot9,Diaspora Yeshiva – Gap Year Program,info@diasporayeshiva.com,,+1 (213) 255-3675,https://diasporayeshiva.com/contact/,FALSE
cmr8bgrqr0034vkmzhkwis3v5,Diller Teen Fellows Israel Summer Seminar,info@dillerteenfellows.org,,(415) 512-6239,https://dillerteenfellows.org/,FALSE
cmrapcnfd000abkmzzffrvsml,Dvar Yerushalayim,Dvar@dvar.org.il,,(972) 2-652-2817,https://dvar.org.il,FALSE
cmr8qcgk5000xjbmzi0hxsr5v,Eco-Israel Program,,,,,TRUE
cmr8bo6b00015hdmzfshu4egd,Ein Prat Academy for Leadership,giyusim@einprat.org,,,https://ein-prat.com/?lang=en,FALSE
cmrwivqde0000fxmzr9hzeti6,El-Araj (Bethsaida-Julias) Excavation Project,notley@gmail.com,,845-300-5797,https://www.bethsaida-julias.com/home,FALSE
cmra8fy1j000n2wmzb83yu4hh,ELI Gap Year Program,gapintl@tauex.tau.ac.il,,,https://international.tau.ac.il/eli-gap-year,FALSE
cmra8gsj0000x2wmzvyiaeb3c,Emunah College - Faculty of Arts and Design,,Registration Department: 02-6239586 | 052-5264519,02-6733767,https://emuna.emef.ac.il/english/,FALSE
cmrapilci002ubkmzr7k7i622,En-Gedi Oasis Archaeological Project,avi.mashiach@mail.huji.ac.il,,,https://www.archaeological.org/fieldwork/en-gedi-oasis-archaeological-project/,FALSE
cmra8h63i00142wmzhls5v5j9,EYAHT - Aish HaTorah College for Women,webmaster@aish.com,,972-073-229-3400 ext. 0,https://aish.com/contact/,FALSE
cmra8etzg00082wmzjf1idlth,FZY Year Course,office@fzy.org.uk,,020 8201 6661,https://www.fzy.org.uk/,FALSE
cmrls7acj0004eimzsmbamjq3,Garin Mahal,,,"052-860-0062 (Director, Baruch Tretiak)",https://garinmahal.com/contactus,FALSE
cmr8bo6di001ihdmzyzna575r,Garin Tzabar,garintzabar@israelscouts.org,,+972 54 244 1192,https://garintzabar.org/,FALSE
cmr8bo69f000whdmz9tq77hml,Ginsburg-Ingerman Overseas Student Program (OSP),,,+972-8-646-1144 (Israel office); 800-96-AABGU / 212-687-7721 ext. 2102 (North America office),http://www.bgustudyabroad.org/admissions-tuition/application-information/,FALSE
cmrwiz1w00000ujmzx3zgjxyb,Gur Arie (Betar),info@betar.org.il,yehuda@betar.org.il,02-6792954,https://betar.org.il/en/gur-arie/,FALSE
cmrbvjgu6000i2gmz2vrlb7ed,Habonim Dror Australia - Shnat,shnat@hdoz.com,,,https://www.hdoz.com/shnat,FALSE
cmrwiylcm0004s2mz4dijnrog,Habonim Dror Latin America - Shnat,,,,,TRUE
cmracdrlp0000b1mzi1avvyft,Habonim Dror Southern Africa - Shnat,,,,,TRUE
cmra8ezyh000a2wmzgtrczjed,Habonim Dror UK - Shnat,office@habodror.org.uk,leche@habodror.org.uk,0208 209 2111,https://habodror.org.uk/contacts/,FALSE
cmr8bgr8d000rvkmz0je8h5x8,Habonim Dror Workshop,programs@habonimdror.net,,(267) 908-7005,https://www.hdnaisrael.org/contact,FALSE
cmr9qg2ug000srumz8ejvele3,Hadassah Medical Center Volunteer Program,intlcommunications@hadassah.org,,,https://hadassahinternational.org/where-we-are/contact-us/,FALSE
cmrwiw2fj000ifxmznhiaosib,HaMechina HaChadasha BeLod (The New Academy in Lod),Mechinahadasha@gmail.com,,052-346-0066,https://mechinat-lod.co.il/,FALSE
cmrwivysn000cfxmzsi9fgaxr,HaMechina HaMadait (Scientific Pre-Military Academy),info@hamadait.org.il,,08-934-6931,https://hamadait.org.il/,FALSE
cmra8fqgj000l2wmzmlg7cxkw,Hasbara Fellowships Israel Training Program,info@hasbarafellowships.org,,(646) 365-0030,https://hasbarafellowships.org/israel-program-application/,FALSE
cmra8i9pv00087fmz076cc5uu,Hashomer Hatzair Shnat Hachshara,,,(917) 575-3973,https://campshomria.com/pages/israel-programs,FALSE
cmrx6448v000cfqmzplx4i3l8,Havineini Bais Yaakov,havineini@gmail.com,,,https://havineinibaisyaakov.com/shana-alef/,FALSE
cmrapi4ft002mbkmznpprc3n7,Hazor Excavations,hazor.excavations@mail.huji.ac.il,,,https://www.hazor-excavations.org,FALSE
cmrhjpk6s0004cemzotrf1a6m,Hebrew University Business School - Med-Tech Innovation MBA,imba@savion.huji.ac.il,rubama@savion.huji.ac.il,972-2-5883217,https://imba.huji.ac.il/contact,FALSE
cmrhjpj4j0002cemzi1ag72c3,Hebrew University Business School - StartUp 360 MBA,imba@savion.huji.ac.il,rubama@savion.huji.ac.il,972-2-5883217,https://imba.huji.ac.il/contact,FALSE
cmrapdbmz000kbkmzt4xp3nap,Heichal Yerushalayim,HeichalYerushalayim@gmail.com,,055-500-3046,https://heichalyerushalayim.com/contact-us,FALSE
cmrepfw5x000mpdmzysp7abk1,Hesder Yeshiva Akko,boaz.yakko@gmail.com,,04-9913212,https://yakko.co.il/,FALSE
cmra8efae00042wmz60j4kdj3,Hevruta Gap-Year Program,,,+972 2 567 5320,https://www.hartman.org.il/contact-us/,FALSE
cmrapibvw002qbkmzqx2beee2,Hippos-Sussita Excavations,hippos.sussita@gmail.com,,,https://www.dighippos.com/join,FALSE
cmra8hmkf00007fmz01bkw4q8,HUC-JIR Year-in-Israel,jerusalem@huc.edu,,02-620-3333,https://huc.edu/contact-us/,FALSE
cmrk7ci9a0006kimzpazj61g2,Imrei Binah,yeshivaimreibina@gmail.com,,+972-2-581-3442,https://www.imreibinah.com/,FALSE
cmrwjiacb0004q3mzq8m3t90n,International Masterclasses Course for String Players,info@jmc.org.il,,02-6234347,https://www.jmc.org.il/en/international_masterclasses_course/,FALSE
cmrbvj317000b2gmzeyt1g4ph,Interuniversity Institute for Marine Sciences (IUI) Eilat - Intensive Courses,sivan.yakar@mail.huji.ac.il,,08-6360111,https://iui-eilat.huji.ac.il/en/home,FALSE
cmracfchn000ub1mzvxaxp91x,Israel Free Spirit,,,212-613-8299,https://www.israelfreespirit.com/contact,FALSE
cmra8fm18000i2wmz13iwdc7h,Israel Government Fellows (IGF),Offices@begincenter.org.il,,02-5652020,https://www.begincenter.org.il/begins-heritage/israel-government-fellows/?lang=en,FALSE
cmra8h1lu00122wmzwc5xk9yh,Israel Lacrosse Gap Year Program,info@lacrosse.co.il,,,https://www.lacrosse.co.il/contact/,FALSE
cmrhjtmn90000m5mzdi4qvt02,Israel Outdoors,,,,,TRUE
cmracend4000eb1mz266i7dhh,Israel Tech Challenge Fellows Program,masainfo@masaisrael.org,,,https://masaisrael.org/contact-us/,FALSE
cmr8bo68g000rhdmzlh7kcbyb,Israel XP (Bar-Ilan University Overseas Student Program),info@israelxp.com,,972-3-5317000,https://israelxp.com/about-us/contact-us/,FALSE
cmraphfsc002abkmzv04ijq2p,Isralight,,,011.972.2.627.4890,https://www.isralight.org/contact/,FALSE
cmrepfjlz0000pdmzstgf7pof,JCC Maccabi Israel Sports Tour,jccmaccabi@jcca.org,,(212) 532-4949,https://jccmaccabi.org/contact/,FALSE
cmrx63y620002fqmz8w8yiee6,Jean Schottenstein Oryah Institute (JSOI),Office@oryah.org,,02-6285885,https://jsoinstitute.org/about-us,FALSE
cmr9qejw80006rumzt9e8ag41,Jerusalem Academy of Music and Dance – DanceJerusalem,,,+972526633233,https://jamd.ac.il/en,FALSE
cmra8gd9t000r2wmzrfavomw4,Jerusalem College of Technology - International English Speakers Program,esp@jct.ac.il,,+972-2-675-1011,https://www.jct.ac.il/international/,FALSE
cmraphnsa002ebkmz473konda,JEWEL for Women,,,,,TRUE
cmra8ht4l00027fmzmzelhjni,JTS Israel Year,publicity@jtsa.edu,admissions@jtsa.edu,212-678-8000,https://www.jtsa.edu/contact/,FALSE
cmr9qik8n001orumz7f50tzu4,Kadima (World Bnei Akiva),office@worldbneiakiva.org,,+972 2 620 9012,https://www.worldbneiakiva.org/contact-us,FALSE
cmrwji9980002q3mzdqkmbk91,KCDC Kibbutz Summer Intensive,,,+972-52-2863400,https://kcdc.co.il/en/course/kibbutz-summer-intensive/,FALSE
cmr8qcbeq000wjbmzwfornwop,Kibbutz Lotan Green Apprenticeship,office@klotan.co.il,admissions@klotan.co.il,+972-8-6356888,https://kibbutzlotan.com/en/ga_en/,FALSE
cmracf4gx000nb1mzvfmcae8h,Kibbutz Program Center (KPC),kpc@kibbutzvolunteers.org.il,,972-3-5246154,https://kibbutzvolunteers.org.il/form/contact,FALSE
cmr9qja5n001yrumzrfaakkpq,Kibbutz Ulpan,info@kibbutzulpan.org,,+972-(0)532203985,https://kibbutzulpan.org/contact/,FALSE
cmrwix4ey0000kymzaptzp7ri,Kinneret College International MSc in Water Industry Engineering,international@kinneret.ac.il,,,https://international.kinneret.ac.il/kinneret/,FALSE
cmrk7cpga000gkimzjm40mpsy,Kisse Rahamim Yeshivah,,,03-6767163,https://www.ykr.org.il/,FALSE
cmr8bgr470008vkmz0r7653ff,Kivunim,info@kivunim.org,admissions@kivunim.org,,https://www.kivunim.org/admissions,FALSE
cmra8fg9l000g2wmzcv83erkn,Kol Ami Mechina,,,,,TRUE
cmrv41fhn0002gsmz5fpf4l2o,Kollel Nefesh HaChaim,,,+972 (0) 2 991-9183,https://nefeshhachaim.org/contact-us/,FALSE
cmrwixtra0004njmz9db8v8qs,Krav Maga Instructor's Course (Wingate/Levinsky-Wingate Academic Center),,,,,TRUE
cmrx6w8mo00020zmz9elot2jb,Lapidot Advanced Beit Midrash for Women,RabbanitShani@mizrachi.org,,,https://mizrachi.org/lapidot/,FALSE
cmrwivrv40002fxmz7x5c7ku7,Legio Excavation (Jezreel Valley Regional Project),jezreelvalleyrp@gmail.com,,,https://www.jezreelvalleyregionalproject.com/legio,FALSE
cmr9qfxz8000qrumzep6r00zl,Leket Israel Volunteer Program,,,,,TRUE
cmra8imcz000c7fmzglo0ybfy,Limmud (World Bnei Akiva),office@worldbneiakiva.org,,+972 2 620 9012,https://www.worldbneiakiva.org/contact-us,FALSE
cmr7sl7nw000qw9mzugtq46bp,Livnot U'Lehibanot,info@livnot.org,,+972543043029,https://livnot.org/about/contact,FALSE
cmrx645ig000efqmzpp62lbba,Maalot Yerushalayim,maalot@nevey.org,,972-2-654-4548,https://maalot.nevey.org/contact-us,FALSE
cmrwiz35m0002ujmzfq9ctf2f,Mabat VeMedia (Masa Betar),info@betar.org.il,masachama@betar.org.il,02-6792954,https://betar.org.il/es/mabat-vemedia-spa/,FALSE
cmra8faw6000e2wmzoyllelyd,Maccabi Gap Year,,,,,TRUE
cmrwjp9ee0000cgmzyn7cgwg7,Maccabi Israel Sports XP,info@maccabi.org,,+972-3-6715722,https://www.maccabi.org/contact,FALSE
cmr8bgrpm002yvkmza38qbk5s,Mach Hach BaAretz,machhach@bneiakiva.org,,212-465-9536,https://machhachbaaretz.org/contact,FALSE
cmrkzseoo000104l7r56tn70r,Machal Overseas Army Program,,,,,TRUE
cmr8bgrs3003bvkmzu2x6770r,Machaneh Bonim B'Israel (MBI),programs@habonimdror.net,,267-908-7005,https://www.hdnaisrael.org/contact,FALSE
cmr8qd57r001bjbmzbsbpk3h2,Machon Alte - Seminary Chaya Mushka,,,+972-53-950-8448,https://www.machonalte.com,FALSE
cmrx63z8h0004fqmzzboje6px,Machon Bnos Yehuda (BYA),usoffice@mbyseminary.com,,732-813-3230,https://www.mbyseminary.com/,FALSE
cmr8bo6410009hdmzoldc864q,Machon Maayan,office@machonmaayan.org,,08-851-1851,https://machonmaayan.org/contact/,FALSE
cmr8bgrgw001tvkmz74jft5t2,Machon Meir,english1@emeir.org.il,,02-646-1317,https://machonmeir.net,FALSE
cmrapgfwz001wbkmzgl9uqv52,Machon Raaya,,,,,TRUE
cmrapgauw001ubkmz81r6lh2s,Machon Roni,info@diasporayeshiva.org,,+1-213-255-3675,https://diasporayeshiva.org/contact,FALSE
cmrapgw9e0022bkmzkje95713,Machon Sara Yerushalayim (MSY),office@machonsara.org,,212-814-3224,https://machonsara.org,FALSE
cmr9qkeee002erumz15j86us4,Machon Shlomo,machonshlomo@meor.org,,,https://machonshlomo.org/,FALSE
cmrapbyrs0000bkmzx5os8otg,Machon Yaakov,office@machonyaakov.org,,+972-2-654-0112,https://www.machonyaakov.org,FALSE
cmrwjpap80002cgmz512redo4,March of the Living: Young Professional Program,motl@motl.org,,,https://motl.org/contact,FALSE
cmrwix7zz0006kymz8eaanju6,Masa Fast Track Pro,masainfo@masaisrael.org,mymasa@masaisrael.org,,https://www.masaisrael.org/contact-us/,FALSE
cmrhjlj5r00003hmzttyk3i6h,Masa Israel Journey,masainfo@masaisrael.org,mymasa@masaisrael.org,,https://www.masaisrael.org/contact-us/,FALSE
cmr8bgr5t000fvkmz74kmfj5r,Masa Israel Teaching Fellows (MITF),masainfo@masaisrael.org,mymasa@masaisrael.org,,https://www.masaisrael.org/contact-us/,FALSE
cmrwiw806000sfxmzds5wcpvl,Masa Magen David Adom EMT Volunteer Program,masainfo@masaisrael.org,mymasa@masaisrael.org,,https://www.masaisrael.org/contact-us/,FALSE
cmrv40xu60000gsmzls009lep,Matan – The Sadie Rennert Women's Institute for Torah Studies,,,,,TRUE
cmrhjtnxk0002m5mznbbv57jg,Mayanot,info@mayanotisrael.com,,+1-888-629-2668,https://mayanotisrael.com/,FALSE
cmr8qd0om0019jbmzuqitbz85,Mayanot Post-High-School Program (Men),mayanot@mayanot.edu,,(212) 980-3414,https://mayanot.edu,FALSE
cmrapfq2d001lbkmzvyjut35o,Mayanot Women's Program,mayanot@mayanot.edu,wp@mayanot.edu,(212) 980-3414,https://www.mayanot.edu/programs_women.asp,FALSE
cmr8bo6g1001yhdmzh8xks4dm,MDA Overseas Volunteers Program,info@afmda.org,agardy@afmda.org,866.632.2763,https://afmda.org/volunteer-overseas/,FALSE
cmrx640fd0006fqmzo6ji6vt3,Me'ohr Bais Yaakov,office@meohr.org,,02-630-0900,https://meohr.com/,FALSE
cmr9qisxy001qrumz18e82noz,Mechina Olamit (World Bnei Akiva and Kol Ami),office@worldbneiakiva.org,ayelet@worldbneiakiva.org,+972-2-620-9012,https://www.worldbneiakiva.org/mechina-more,FALSE
cmr9qh80x0016rumzew38iuxr,Mechinat Aderet,yachad@mechinot.org.il,,+972-54-537-9265 (WhatsApp),https://mechinot.org.il/en/yachad/m,FALSE
cmrem8c01002crvmzeezkw8dm,Mechinat Ami-Chai,amichaimkdz@gmail.com,giusim.amichai@gmail.com,054-966-3068,https://www.ami-chai.co.il/,FALSE
cmr9qhdtf0018rumzb2cx0o3u,Mechinat Amichai,yachad@mechinot.org.il,,+972-54-537-9265 (WhatsApp),https://mechinot.org.il/en/yachad/m,FALSE
cmr9qhsqj001erumzr9myf0d1,Mechinat Arava,yachad@mechinot.org.il,,+972-54-537-9265 (WhatsApp),https://mechinot.org.il/en/yachad/m,FALSE
cmrem78gh000irvmz8hhrg951,Mechinat Arzei HaLevanon,info@mechinot.org.il,,050-940-9097,https://mechinot.org.il/mechina/toraniyot-joint/arzey-halevanon,FALSE
cmrxhoc4e0006bfmzty2bhlan,Mechinat Ateret Yerushalayim,,,055-9906-220,https://mechinat-ateret.co.il/,FALSE
cmrem742l000arvmzbwk227rf,Mechinat Avner - Akko,sarah@avnerakko.co.il,,04-6319535,http://www.avnerakko.co.il/contact.html,FALSE
cmr9qhy4b001grumz1o8hc6wx,Mechinat Be'eri,,,"+972-54-537-9265 (WhatsApp, Yachad/JCM general contact)",https://mechinot.org.il/en/yachad/m,FALSE
cmrem7vwo001mrvmzwnsf8pf8,Mechinat Beer Ora,,,,,TRUE
cmrem79hy000krvmz3issbr9e,Mechinat Beit Yatir,office@yatir.org.il,,02-9964933,https://yatir.org.il/,FALSE
cmr8bo6bu0019hdmzafo3av3d,Mechinat Beit Yisrael (Big),beitisrael.gius@gmail.com,,052-864-6737,https://reut.org.il/en/mechinat-beit-yisrael/,FALSE
cmrem8eor002grvmzvvsqg80w,Mechinat Bina,contact@bina.org.il,,,https://www.bina.org.il/contact/,FALSE
cmr8bo6ao0013hdmzbawf89co,Mechinat Bnei David (Eli),info@bneidavid.org,talmidim@bneidavid.org (Student Admissions),02-9407888,https://bneidavid.org/%d7%99%d7%a6%d7%99%d7%a8%d7%aa-%d7%a7%d7%a9%d7%a8/,FALSE
cmrem7xaz001orvmz4ipvkp2k,Mechinat Bnot HaMidbar,Melach.Aretz@gmail.com,,08-6594534,https://melach.org.il/%D7%91%D7%A0%D7%95%D7%AA-%D7%94%D7%9E%D7%93%D7%91%D7%A8/,FALSE
cmrem7c09000orvmzgne5njlf,Mechinat Chemdat Yehuda,b.m.chemdat@gmail.com,Hanan (Admissions Coordinator): 054-568-0154,02-9944602,https://chemdat.org.il/,FALSE
cmrem7asb000mrvmz97prdrs0,Mechinat Chosen Peduel,,Saked (contact person): 052-3019766,077-8042359,https://www.pduel.co.il/,FALSE
cmrwivvc60006fxmz090o2chd,Mechinat Derech Avot,,,052-670-9433,https://bneidavid.org/%D7%9E%D7%9B%D7%99%D7%A0%D7%AA-%D7%93%D7%A8%D7%9A-%D7%90%D7%91%D7%95%D7%AA/,FALSE
cmr9qi31r001irumz1bjcnbb6,Mechinat Dror,,,"+972-54-537-9265 (WhatsApp, Yachad/JCM general contact)",https://mechinot.org.il/en/yachad/m,FALSE
cmrem7ur8001krvmz0gtzlazk,Mechinat Echad V'Achat Mishelanu,info@one-of-us.org.il,,09-7674577,https://www.one-of-us.org.il/,FALSE
cmrem769i000ervmzc8j29189,Mechinat Eitan,bmoreshet@gmail.com,,02-5905568,https://betmoreshet.org.il/%D7%9E%D7%9B%D7%99%D7%A0%D7%AA-%D7%90%D7%99%D7%AA%D7%9F/,FALSE
cmrem77ay000grvmzdef78186,Mechinat Elisha,mechinatelisha2@gmail.com,,08-9241050,https://www.mechinat-elisha.com/,FALSE
cmr9qgxas0012rumzkffy7is9,Mechinat Five Fingers (Chamesh Etzbaot),,,"+972-54-537-9265 (WhatsApp, Yachad/JCM general contact)",https://mechinot.org.il/en/yachad/m,FALSE
cmrem7ylt001qrvmzyvzgobww,Mechinat Gal,,Or (Recruitment Coordinator): 054-257-9896,"0543-302301 (Head of Mechina, Ayelet Rom)",https://mechinot.org.il/mechina/list/general/gal,FALSE
cmrwivxqc000afxmzp27211rn,Mechinat Galil Elyon,,,,,TRUE
cmr9qglg7000yrumz83jboc5v,Mechinat HaEmek,,Miri (International Coordinator) - WhatsApp: +972-50-724-6927,"+972-54-537-9265 (WhatsApp, Yachad/JCM general contact)",https://mechinot.org.il/en/yachad/m/haemek,FALSE
cmrem82oz001wrvmzjjv3ssky,Mechinat HaNegev (Sde Boker),,,,,TRUE
cmr9qhiqh001arumzvz2qltfk,Mechinat Hannaton,,,"+972-54-537-9265 (WhatsApp, Yachad/JCM general contact)",https://mechinot.org.il/en/yachad/m,FALSE
cmrwiw192000gfxmzvmf3hart,Mechinat HaShomer HaChadash,shinshin@hashomer.org.il,050-8818206 (for inquiries and questions),*9263,https://www.hashomer.org.il/pre-military/mechina/,FALSE
cmr9qic99001mrumzm2f1a8mq,Mechinat Haviva Reich,,,"+972-54-537-9265 (WhatsApp, Yachad/JCM general contact)",https://mechinot.org.il/en/yachad/m,FALSE
cmrem7fg4000urvmzyiykua3c,Mechinat Ke'Ayal,office@otzem.org.il,,052-5910903,https://otzem.org.il/%D7%9E%D7%9B%D7%99%D7%A0%D7%AA-%D7%9B%D7%90%D7%99%D7%99%D7%9C/,FALSE
cmrem86590022rvmzg5ky1p8v,Mechinat Kerem El,Kerem_el_lishka@walla.com,,052-8655955,https://www.kerem-el.co.il/kerem-el/,FALSE
cmrem7qdi001crvmzzauqvki8,Mechinat Keshet Yehuda,info@keshetyehuda.org,,04-6962551,https://www.keshetyehuda.org/contact/,FALSE
cmr9qg8ka000urumzr32g6rvk,Mechinat Lachish,,Tzur London (International Coordinator): +972-50-566-0068,"+972-54-537-9265 (WhatsApp, Yachad/JCM general contact)",https://mechinot.org.il/en/yachad/m/lachish,FALSE
cmrem7i8x000yrvmz96w2mjq0,Mechinat Lapidot Emuna,,,,,TRUE
